data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,72.40833382698067,3.144058455254632,1.0,0.9999999999999999,23.416735541666664,5.29210960986132,1.0,1.0,2.680212127814531,1.5077785523322804,1.0,1.0,82.83059580940949,8.153058183586976,1.0,0.9999999999999998,7.095213004402738,4.756993497100154,1.0,1.0,87.24559668599768,5.300398550575889,1.0,0.9999999999999999,42.4394449433149,23.698418537022718,1.0,1.0
paraphrase,76.19346694701927,3.067347475409203,0.3889054741302495,0.40447728443258274,18.852871322916666,7.41257087936854,0.8131784628745116,0.8221785312338081,3.735320746177704,2.50485062585271,0.32685627442466353,0.2994630586655309,77.2775993418983,10.70264911832124,0.653603994789405,0.701649484141068,9.322001004426529,6.5185762543821255,0.8105731654363872,0.7934465154726789,82.86427960014713,7.49099440794543,0.3076422058184976,0.3450912575023936,0.0,0.0,,
selfparaphrase,52.71935074940944,5.371990727268906,-0.19659140251845417,-0.1263047267574496,59.31736452083334,5.481162666163848,0.33098132870169344,0.26026052621730805,13.128044234439562,3.0464891463912673,0.1820451584889275,0.2271434907186224,66.03736953780098,8.963487238388801,0.3478072079895788,0.3263897760878479,6.38869827994586,5.109803584992305,0.5321320017368649,0.4131225149518465,59.29802358330728,7.854518210482307,0.12852800694745983,0.1932029481298718,0.0,0.0,,
