data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,72.40833382698067,3.144058455254632,1.0,0.9999999999999999,23.416735541666664,5.29210960986132,1.0,1.0,1.1647502154390819,1.8254688841028732,0.9999999999999999,1.0,90.58765944259352,6.4473186203929345,1.0,0.9999999999999999,8.247590341967385,6.160449744061359,1.0,1.0,97.67049956912183,3.6509377682057496,0.9999999999999999,0.9999999999999999,42.4394449433149,23.698418537022718,1.0,1.0
paraphrase,76.19346694701927,3.067347475409203,0.3889054741302495,0.40447728443258274,18.852871322916666,7.41257087936854,0.8131784628745116,0.8221785312338081,2.240094715770922,4.006883205450436,0.3703109774285742,0.1839123122578553,84.53664219568783,11.792137176429085,0.5576798267024705,0.5785159425483584,13.223263088541229,10.785741366527697,0.6578176497978071,0.6371378858547903,95.51981056845817,8.013766410900876,0.3703109774285742,0.18391231225785493,0.0,0.0,,
selfparaphrase,52.71935074940944,5.371990727268906,-0.19659140251845417,-0.1263047267574496,59.31736452083334,5.481162666163848,0.33098132870169344,0.26026052621730805,15.645262730307602,5.092861849491774,0.09549345247283539,0.22497321179017732,76.02160407563751,10.156697087109336,0.3514371805478517,0.3092402586973711,8.333133194054893,8.080902907130579,0.49370526946355375,0.3891546022630773,68.7094745393848,10.185723698983548,0.09549345247283539,0.2249732117901769,0.0,0.0,,
