data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,73.15807097665368,2.941942432048906,0.9999999999999998,1.0,28.364069892857145,4.500114202964467,0.9999999999999998,1.0,2.5389355591644835,3.016870217453665,1.0,1.0,82.59866392497192,6.925442745496936,0.9999999999999998,1.0,7.400454060577124,4.68553638324429,1.0,1.0,87.46018242638455,6.995673774747346,0.9999999999999998,0.9999999999999999,60.71427580356151,23.2129374140128,1.0,0.9999999999999999
paraphrase,76.03740096794387,2.0516150095319605,0.20911454965227771,0.3020942791674046,24.412405892857144,4.678093392150339,0.42692939244663375,0.4920360474880926,2.173946892861895,2.3820469259067476,0.4422517998747498,0.23785791463093003,79.18725209436388,9.1801937850117,0.5555555555555555,0.5213240356789135,10.04057275044981,6.221447946730948,0.5307966055297016,0.5017075674038932,87.05387795195179,6.383797229339674,0.5363984674329502,0.2940159071518997,0.0,0.0,,
selfparaphrase,53.84404631383993,4.504612252031654,-0.08976464148877941,-0.1159073445666873,61.39551942857144,5.661983477546006,0.06403940886699507,0.1340182140639165,15.5117594402613,2.9510009155663117,0.044823838153157866,-0.00622723676138969,71.97488539195835,9.817320181419259,0.2140120415982485,0.3336646889523573,5.096071655502292,5.898752564368817,0.34517023536111985,0.3251651491678972,61.55919760719936,7.077627572524736,0.05692391899288451,0.08158063043683275,0.0,0.0,,
