data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg)
base,70.94704247975034,3.862838746101238,1.0,1.0,74.31855104166668,4.141724538568742,1.0,1.0,15.715145127921843,13.412842952027237,0.9999999999999999,0.9999999999999999,33.794548581301484,15.662883053580071,1.0,1.0,50.490306290776665,19.342968684601033,1.0,1.0,84.28485487207814,13.412842952027237,0.9999999999999999,1.0
paraphrase,72.40211791406993,3.2194899727375406,0.45062013206271195,0.5699480612657464,75.88338358333333,3.2898338893046892,0.5343030829353018,0.6399126633608134,16.318882826938502,12.619294933594864,0.5185328047383375,0.6560732034493627,33.905771533220836,18.163287413507486,0.6651281847362938,0.6976347115530074,49.77534563984065,22.791779576040167,0.737152165332052,0.766369430903536,83.68111717306148,12.619294933594865,0.5185328047383375,0.6560732034493626
paraphrase_a,72.95010202956276,3.485964019157661,0.6219942463225316,0.7103818135730233,75.79976416666666,3.4583719745129136,0.7756187581415545,0.8056883565461601,15.909458577506806,13.766577244005724,0.7060919200948225,0.7814475146027314,33.68694021133632,16.897803873554516,0.6334609714791096,0.706931780202162,50.403601211156875,19.62700761972633,0.812730732260824,0.8401597187597009,84.09054142249319,13.766577244005724,0.7060919200948225,0.7814475146027315
paraphrase_b,72.85064716472503,3.623755377932614,0.5730724348732972,0.6708633719528003,75.70349231249999,3.8213942066113953,0.7294832826747719,0.7713691102318225,15.62231111290709,11.657962149509991,0.8294661438868212,0.8650433772342994,35.60142130494609,17.186131961468142,0.8464337484831873,0.8365286703936999,48.77626758214681,20.047819373989903,0.8070251662254857,0.8278942995838082,84.3776888870929,11.657962149509991,0.8294661438868212,0.8650433772342991
