data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg)
base,70.94704247975034,3.862838746101238,1.0,1.0,74.31855104166668,4.141724538568742,1.0,1.0,9.539763288622273,10.637229876796649,1.0,1.0,33.794548581301484,15.662883053580071,1.0,1.0,56.66568813007624,18.9607932727609,1.0,0.9999999999999998,90.46023671137773,10.637229876796649,1.0,0.9999999999999999
selfparaphrase,53.02113415638902,4.289946580352456,0.3413575054857137,0.2801345430221722,35.186182458333334,5.992791500775782,0.0031480677377333914,-0.0075288821160215125,45.728407280444564,25.041889406783046,0.31230944164429986,0.3267650853319058,1.541990132162167,2.5221041644511724,0.06475207615170546,-0.037116439238458525,52.729602587393266,25.223959197366916,0.43759500800830786,0.47664039494893906,54.27159271955545,25.041889406783046,0.31230944164429986,0.3267650853319061
