data_type,mean(ds),rank_corr(ds),mean(bs),rank_corr(bs),mean(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),rank_corr(nli_contrast_agg),experiment_name
base,69.80167519030176,1.0,79.60724232291666,1.0,13.986200350464223,1.0,28.513727019736013,1.0,57.50007262979975,1.0,86.01379964953577,1.0,20230614_040557_agg-final-03-biasnone-aggall
similarity,55.38348358159326,0.3167225775910703,63.85253033333333,0.2317099843864142,39.985820729285486,0.307625379338266,6.853020512017859,0.0511524841163449,53.16115875869665,0.32793273867434,60.01417927071452,0.3076253793382659,20230614_040557_agg-final-03-biasnone-aggall
selfparaphrase,45.41454122378718,0.2409218157105451,34.95007597916667,-0.0698732577717536,62.23270721767906,0.385324748374484,0.4856700147629871,-0.025982364325703,37.28162276755794,0.4609956608165442,37.767292782320936,0.3853247483744841,20230614_040557_agg-final-03-biasnone-aggall
paraphrase,71.47002481159281,0.5196857483133628,81.33789397916667,0.7310161823145316,15.653800587737884,0.6688434466189933,28.011220585598977,0.6612354680918983,56.33497882666313,0.7191071477593852,84.34619941226212,0.6688434466189935,20230614_040557_agg-final-03-biasnone-aggall
negation,25.664613024825982,0.1249665622027155,34.97048464583333,-0.1370728341527534,0.6748520863023568,-0.1247515703937808,0.0,,99.32514791369763,-0.1461102504865568,99.32514791369763,-0.1247515703937809,20230614_040557_agg-final-03-biasnone-aggall
base,69.80167519030176,1.0,79.60724232291666,1.0,11.038936587215543,1.0,54.275059536907634,1.0,34.686003875876814,1.0,88.96106341278444,0.9999999999999998,20230614_042903_agg-final-04-biasnone-aggsum
similarity,55.38348358159326,0.3167225775910703,63.85253033333333,0.2317099843864142,32.963656862208985,0.3019553971326186,19.170386537969858,0.0415645554020424,47.86595659982115,0.3308933731661211,67.03634313779101,0.3019553971326187,20230614_042903_agg-final-04-biasnone-aggsum
selfparaphrase,45.41454122378718,0.2409218157105451,34.95007597916667,-0.0698732577717536,55.29358583751656,0.4724835618021021,1.6154675384143362,0.014860442573814,43.09094662406911,0.4020309537077032,44.70641416248344,0.4724835618021021,20230614_042903_agg-final-04-biasnone-aggsum
paraphrase,71.47002481159281,0.5196857483133628,81.33789397916667,0.7310161823145316,11.47233881260844,0.6771055799533731,53.40955630738235,0.7149975119000687,35.118104880009206,0.7673472092042796,88.52766118739156,0.6771055799533727,20230614_042903_agg-final-04-biasnone-aggsum
negation,25.664613024825982,0.1249665622027155,34.97048464583333,-0.1370728341527534,0.6748520863023568,-0.0728113225681636,0.0,,99.32514791369763,-0.1964005136541488,99.32514791369763,-0.0728113225681637,20230614_042903_agg-final-04-biasnone-aggsum
base,69.80167519030176,1.0,79.60724232291666,1.0,27.284763541926896,1.0,28.513727019736013,1.0,44.20150943833709,0.9999999999999998,72.7152364580731,0.9999999999999998,20230614_060759_agg-final-05-biasent-aggall
similarity,55.38348358159326,0.3167225775910703,63.85253033333333,0.2317099843864142,75.9439026022626,-0.1348238278925092,6.853020512017859,0.0511524841163449,17.203076885719536,0.184947094729319,24.056097397737403,-0.1348238278925093,20230614_060759_agg-final-05-biasent-aggall
selfparaphrase,45.41454122378718,0.2409218157105451,34.95007597916667,-0.0698732577717536,98.88244744230298,-0.2001671934205625,0.4856700147629871,-0.025982364325703,0.6318825429340448,0.0125550419703577,1.1175525576970329,-0.2001671934205618,20230614_060759_agg-final-05-biasent-aggall
paraphrase,71.47002481159281,0.5196857483133628,81.33789397916667,0.7310161823145316,29.940950349533864,0.5512499035560694,28.011220585598977,0.6612354680918983,42.04782906486715,0.635369801204057,70.05904965046614,0.5512499035560696,20230614_060759_agg-final-05-biasent-aggall
negation,25.664613024825982,0.1249665622027155,34.97048464583333,-0.1370728341527534,8.836106954334506,0.08425397738254,0.0,,91.16389304566547,-0.0975017785027041,91.16389304566547,0.0842539773825399,20230614_060759_agg-final-05-biasent-aggall
