data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,72.40833382698067,3.144058455254632,1.0,0.9999999999999999,23.416735541666664,5.29210960986132,1.0,1.0,0.791961112608247,1.163132048959833,0.9999999999999999,1.0,84.88290629758883,7.7361059619670804,1.0,0.9999999999999999,7.684418713681018,5.592195460467567,1.0,1.0,91.77536389866161,3.8370548042367405,1.0,1.0,42.4394449433149,23.698418537022718,1.0,1.0
paraphrase,76.19346694701927,3.067347475409203,0.3889054741302495,0.40447728443258274,18.852871322916666,7.41257087936854,0.8131784628745116,0.8221785312338081,1.0324285684128756,1.4910772625533109,0.3612009382094421,0.16639293070501962,80.77941609087351,10.908502893424284,0.6948545375597046,0.694714507694125,10.524764174382032,8.67341249014002,0.714697336320599,0.682481544563496,90.27175169684267,4.45108804539692,0.4463742943986105,0.3766316063368178,0.0,0.0,,
selfparaphrase,52.71935074940944,5.371990727268906,-0.19659140251845417,-0.1263047267574496,59.31736452083334,5.481162666163848,0.33098132870169344,0.26026052621730805,14.346744097118204,4.713552074421932,0.09541545076750789,0.2835328793973631,71.97372384598226,10.36218787152489,0.39318280503690833,0.38994576693403,6.517154386153213,6.594028368519546,0.5131068653376059,0.42510006960319807,64.14413413501728,9.833018870949044,0.1282023447676943,0.26483700665256626,0.0,0.0,,
