data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,73.15807097665368,2.941942432048906,0.9999999999999998,1.0,28.364069892857145,4.500114202964467,0.9999999999999998,1.0,3.085447656329561,3.5988556710284008,0.9999999999999998,1.0,87.57551931989023,6.615021986818832,1.0,1.0,9.339033023780184,5.599058003755208,1.0,1.0,93.82910468734087,7.197711342056802,0.9999999999999998,0.9999999999999999,60.71427580356151,23.2129374140128,1.0,0.9999999999999999
paraphrase,76.03740096794387,2.0516150095319605,0.20911454965227771,0.3020942791674046,24.412405892857144,4.678093392150339,0.42692939244663375,0.4920360474880926,2.953199270767944,3.2243831627847936,0.4316238966946577,0.18681961120591514,84.38486752540618,8.778999654239744,0.46487745198245134,0.4463001632044357,12.661933203825882,7.916642688797584,0.5311214896671835,0.5149568808291706,94.09360145846412,6.448766325569591,0.4316238966946577,0.18681961120591564,0.0,0.0,,
selfparaphrase,53.84404631383993,4.504612252031654,-0.08976464148877941,-0.1159073445666873,61.39551942857144,5.661983477546006,0.06403940886699507,0.1340182140639165,16.856469108547472,2.864542276117837,0.06152850811919583,-0.034471735814622304,76.37656152339521,8.704360162106672,0.24979457682826625,0.3329276525003708,6.766969368057319,7.703982887133055,0.366115107839671,0.37062669199517806,66.28706178290504,5.72908455223567,0.06152850811919583,-0.034471735814622005,0.0,0.0,,
