data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,72.40833382698067,3.144058455254632,1.0,0.9999999999999999,23.416735541666664,5.29210960986132,1.0,1.0,1.0105526898919888,1.467799007039222,1.0,1.0,89.39755198096725,6.959370560826563,0.9999999999999999,1.0,9.59189532914075,6.82374002796225,1.0,1.0,97.97889462021601,2.935598014078447,1.0,1.0,42.4394449433149,23.698418537022718,1.0,1.0
paraphrase,76.19346694701927,3.067347475409203,0.3889054741302495,0.40447728443258274,18.852871322916666,7.41257087936854,0.8131784628745116,0.8221785312338081,1.48421960526289,2.2213837802077703,0.3352366422958793,0.11985201069870915,85.52788280833535,10.727496368273963,0.6569264320401011,0.6444743447578718,12.987897586401742,10.398108867731402,0.7030869642234331,0.6583429419993794,97.03156078947423,4.442767560415542,0.3352366422958793,0.11985201069870924,0.0,0.0,,
selfparaphrase,52.71935074940944,5.371990727268906,-0.19659140251845417,-0.1263047267574496,59.31736452083334,5.481162666163848,0.33098132870169344,0.26026052621730805,15.58235580614614,5.10979652533671,0.12384127439072173,0.3034349833425417,76.10745436713923,10.056974123103599,0.3929211249476212,0.3465360971842449,8.310189826714632,8.010405575701599,0.4951098131442264,0.4291873073883713,68.8352883877077,10.21959305067342,0.12384127439072173,0.3034349833425411,0.0,0.0,,
