data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,72.40833382698067,3.144058455254632,1.0,0.9999999999999999,23.416735541666664,5.29210960986132,1.0,1.0,5.035607810375612,7.628264935135662,1.0,1.0,50.13262985616893,23.626337340579713,1.0,0.9999999999999999,44.83176233345544,23.994314146438334,0.9999999999999999,0.9999999999999999,89.92878437924878,15.256529870271326,1.0,1.0,42.4394449433149,23.698418537022718,1.0,1.0
paraphrase,76.19346694701927,3.067347475409203,0.3889054741302495,0.40447728443258274,18.852871322916666,7.41257087936854,0.8131784628745116,0.8221785312338081,4.7668370232708455,8.041049782044674,0.31341743966414337,0.19289892669462755,45.954984047814925,27.418499698861293,0.6655883622253442,0.650532764217404,49.27817892891422,27.428047777917783,0.6728386941569645,0.6767019741760039,90.46632595345831,16.08209956408935,0.31341743966414337,0.19289892669462746,0.0,0.0,,
selfparaphrase,52.71935074940944,5.371990727268906,-0.19659140251845417,-0.1263047267574496,59.31736452083334,5.481162666163848,0.33098132870169344,0.26026052621730805,54.378124792151254,30.13789438037268,0.1967427868069047,0.15166072719506837,2.156235139368524,3.609601644003497,0.055570056640527686,0.1000091104748334,43.46564006848021,31.484890269902913,0.45458873367220776,0.4239802120863965,-8.756249584302518,60.27578876074535,0.1967427868069047,0.1516607271950684,0.0,0.0,,
