data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg),mean(nli_factuality),std_dev(nli_factuality),corr(nli_factuality),rank_corr(nli_factuality)
base,73.15807097665368,2.941942432048906,0.9999999999999998,1.0,28.364069892857145,4.500114202964467,0.9999999999999998,1.0,10.811405856048712,11.427313657408614,1.0,1.0,41.15579361115075,22.15180453215256,1.0,1.0,48.03280053280053,21.939387614198683,1.0,1.0,78.37718828790256,22.854627314817233,1.0,1.0,60.71427580356151,23.2129374140128,1.0,0.9999999999999999
paraphrase,76.03740096794387,2.0516150095319605,0.20911454965227771,0.3020942791674046,24.412405892857144,4.678093392150339,0.42692939244663375,0.4920360474880926,7.56291327719899,8.04819954673274,0.19992607795054956,0.2584315860478258,38.8638147566719,23.31397498113557,0.5514405159920098,0.5044930712322582,53.573271966129106,24.616604659409038,0.5534807137166178,0.5446393661469832,84.87417344560201,16.096399093465486,0.19992607795054956,0.2584315860478261,0.0,0.0,,
selfparaphrase,53.84404631383993,4.504612252031654,-0.08976464148877941,-0.1159073445666873,61.39551942857144,5.661983477546006,0.06403940886699507,0.1340182140639165,62.49873549284761,28.805087366912435,0.2520945686075952,0.16286987776204595,4.169803042674558,5.116533933424464,0.17797182931826952,0.13127754512257797,33.331461464477826,29.898244900907024,0.40293271264925523,0.420470593717074,-24.99747098569522,57.61017473382486,0.2520945686075952,0.16286987776204603,0.0,0.0,,
