data_type,mean(ds),std_dev(ds),corr(ds),rank_corr(ds),mean(bs),std_dev(bs),corr(bs),rank_corr(bs),mean(nli_contrast_ent),std_dev(nli_contrast_ent),corr(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),std_dev(nli_contrast_neut),corr(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),std_dev(nli_contrast_cont),corr(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),std_dev(nli_contrast_agg),corr(nli_contrast_agg),rank_corr(nli_contrast_agg)
base,73.55873761257803,3.184667547731619,1.0,1.0,72.45918077083333,5.017579302814608,1.0,1.0,4.6874551102492275,7.424521477750158,1.0,0.9999999999999999,50.92766474151923,23.123561847330382,1.0,1.0,44.38488014823154,24.047063913382285,1.0,1.0,95.31254488975078,7.424521477750158,1.0,1.0
paraphrase,74.05633584880566,2.85215163986601,0.5103541866447466,0.5097217926961026,73.44968602083334,4.392051755960046,0.8046026921406861,0.8638400549436168,6.695659834446598,9.379530720361533,0.7440023895567865,0.7308932274044271,42.82237094833844,21.583873926705042,0.6350918188227916,0.7269965182012839,50.48196921721496,23.414455769642768,0.6805717880052417,0.743483212534589,93.30434016555341,9.379530720361533,0.7440023895567865,0.7308932274044264
paraphrase_b,75.59277503327841,2.907225557936847,0.5578504548125996,0.6052868114159834,73.88813964583333,4.983261220522647,0.9243378202344769,0.9240005167119071,4.733652275012568,7.584444012292032,0.8151798346561788,0.823625038849545,47.969034623930135,25.68435159983109,0.8029117881507473,0.8566667816338405,47.29731310105729,27.22647498317874,0.8232416615660679,0.8658231659930783,95.26634772498744,7.584444012292034,0.8151798346561788,0.8236250388495446
